C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,,NUMBER,,LENGTH,,WEIGHT
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,A,110146,"1 Assembly Group BG11-MS41-M10, DN 25",,0.32kg,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,,NUMBER,,LENGTH,,WEIGHT
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,A,110202,"2 Assembly Group BG14-F80-M10, DN 25",,0.4kg,0.8kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,A B,110238,"1 Assembly Group BG22X-F80, DN25",,0.32kg,0.32kg A
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,C,114658,1 Assembly Group BG52-DN25,,0.32kg,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,D,113107,1 Pipe Clamp Stabil Form C LK 49,,0.58kg,0.58kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,E,113919,1 Rod Hanger Load Chain Assembly LKV M10,,0.4kg,0.4kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,F,113023,1 siFramo Eye-Plate HP F 80 - A M10,,0.6kg,0.6kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,Existing steel,,,,,
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,G,114842,1 Threaded Rod GST M10/1000 HCP,223mm,0.11kg,0.11kg
