KKS,Medium,Medium_processed,Fluid Group,DN,PS [bar(g)],Category,Category Details
4 CYX51 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX51 BR930,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX51 BR950,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX51 BR960,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX51 BR990,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX52 BR920,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX60 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX60 BR920,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 CYX60 BR940,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 ETN10 BR100,Bottom Ash Water,Liquids,2,50,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=50.0, PS*DN=35.0)"
4 ETN10 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN10 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN10 BR710,Bottom Ash Water,Liquids,2,40,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=40.0, PS*DN=28.0)"
4 ETN20 BR100,Bottom Ash Water,Liquids,2,50,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=50.0, PS*DN=35.0)"
4 ETN20 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN20 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN20 BR710,Bottom Ash Water,Liquids,2,40,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=40.0, PS*DN=28.0)"
4 ETN30 BR100,Bottom Ash Water,Liquids,2,50,4,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=4.0, DN=50.0, PS*DN=200.0)"
4 ETN30 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN30 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
4 ETN30 BR710,Bottom Ash Water,Liquids,2,40,4,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=4.0, DN=40.0, PS*DN=160.0)"
4 ETN40 BR100,Bottom Ash Water,Liquids,2,25,8,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 ETN40 BR220,Bottom Ash Water,Liquids,2,25,8,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=8.0, DN=25.0, PS*DN=200.0)"
