PIECE NO,CUT LENGTH,N.S. (MM),REMARKS,Drawing-No.,Pipe Class
<1>,100,25,,2QFB94BR110,AHDX
<2>,3624,25,PLD BEND,2QFB94BR110,AHDX
<1>,13383,25,PLD BEND,2QFB94BR120,AHDX
<1>,95,25,,2HTU44BR120,AHFD
<1>,4030,25,PLD BEND,2QFB94BR160,AHDX
<2>,7583,25,PLD BEND,2QFB94BR160,AHDX
<1>,100,25,,2QFB94BR140,AHDX
<2>,213,25,,2QFB94BR140,AHDX
<3>,435,25,PLD BEND,2QFB94BR140,AHDX
<4>,1647,25,,2QFB94BR140,AHDX
<1>,100,25,,2QFB94BR150,AHDX
<1>,100,25,,2QFB94BR130,AHDX
<2>,2115,25,,2QFB94BR130,AHDX
<3>,521,25,,2QFB94BR130,AHDX
<4>,9084,25,PLD BEND,2QFB94BR130,AHDX
<5>,2544,25,PLD BEND,2QFB94BR130,AHDX
