PT NO,COMPONENT DESCRIPTION (MM),N.S.,QTY,WEIGHT,CATEGORY,Drawing-No.
1,"Pipe sml. ASME-B36.19M, 1"", Sch-10S A312-TP316L",25,0.1M,0.20,PIPE,2HTU44BR120
2,"Reducer C ASME-B16.9, 1"" x 1/2"", Sch-10S A403-WP316L",25 x 15,1,0.12,FITTINGS,2HTU44BR120
3,"90\U+00B0 LR-Elbow ASME-B16.9, 1"", Sch-10S A403-WP316L",25,1,0.15,FITTINGS,2HTU44BR120
4,"Weld pipe nipple with male thread NPT 1/2"", Pipe sml. 40S, 100mm long A312-TP316L",15,2,0.26,FITTINGS,2HTU44BR120
5,"Ball valve, NPT 1/2""  threaded, Valpres Type 710001",15,1,0.50,VALVES / IN-LINE ITEMS,2HTU44BR120
,,,,1.23,TOTAL ERECTION WEIGHT,2HTU44BR120
,,,,1.23,TOTAL WEIGHT,2HTU44BR120
1,"Pipe sml. ASME-B36.19M, 1"", Sch-10S A312-TP316L",25,3.8M,7.78,PIPE,2QFB94BR110
2,"Reducer C ASME-B16.9, 1"" x 1/2"", Sch-10S A403-WP316L",25 x 15,1,0.12,FITTINGS,2QFB94BR110
3,"90\U+00B0 LR-Elbow ASME-B16.9, 1"", Sch-10S A403-WP316L",25,1,0.15,FITTINGS,2QFB94BR110
4,"Weld pipe nipple with male thread NPT1/2"", Pipe sml. 40S, 100mm long A312-TP316L",15,1,0.13,FITTINGS,2QFB94BR110
5,"Ball valve, NPT 1/2""  threaded, Valpres Type 710001",15,1,0.50,VALVES / IN-LINE ITEMS,2QFB94BR110
6,"Assembly Group BG14-F80-M10, DN 25 (110202)",25,2,0.00,SUPPORTS,2QFB94BR110
7,"Assembly Group BG14-F80-1/2"", DN 25 (110211)",25,1,0.00,SUPPORTS,2QFB94BR110
,,,,8.68,TOTAL ERECTION WEIGHT,2QFB94BR110
,,,,8.68,TOTAL WEIGHT,2QFB94BR110
1,"Pipe sml. ASME-B36.19M, 1"", Sch-10S A312-TP316L",25,13.4M,27.97,PIPE,2QFB94BR120
2,"Reducer C ASME-B16.9, 1"" x 1/2"", Sch-10S A403-WP316L",25 x 15,1,0.12,FITTINGS,2QFB94BR120
3,"Weld pipe nipple with male thread NPT1/2"", Pipe sml. 40S, 100mm long A312-TP316L",15,1,0.13,FITTINGS,2QFB94BR120
