filename,full_path,KKS,System_code,Line_number,System_code_short
TC021-INOV-2LCQ30BQ029-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCQ30BQ029-SU_0.0_Sikla support drawing.pdf,2LCQ30BQ029,LCQ30,2,LCQ
TC021-INOV-2LCX50BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ001-SU_0.0_Sikla support drawing.pdf,2LCX50BQ001,LCX50,2,LCX
TC021-INOV-2LCX50BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ002-SU_0.0_Sikla support drawing.pdf,2LCX50BQ002,LCX50,2,LCX
TC021-INOV-2LCX50BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ003-SU_0.0_Sikla support drawing.pdf,2LCX50BQ003,LCX50,2,LCX
TC021-INOV-2LCX50BQ004-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ004-SU_0.0_Sikla support drawing.pdf,2LCX50BQ004,LCX50,2,LCX
TC021-INOV-2LCX50BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ005-SU_0.0_Sikla support drawing.pdf,2LCX50BQ005,LCX50,2,LCX
TC021-INOV-2LCX50BQ006-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ006-SU_0.0_Sikla support drawing.pdf,2LCX50BQ006,LCX50,2,LCX
TC021-INOV-2LCX50BQ022-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ022-SU_0.0_Sikla support drawing.pdf,2LCX50BQ022,LCX50,2,LCX
TC021-INOV-2LCX50BQ025-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ025-SU_0.0_Sikla support drawing.pdf,2LCX50BQ025,LCX50,2,LCX
TC021-INOV-2LCX50BQ028-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX50BQ028-SU_0.0_Sikla support drawing.pdf,2LCX50BQ028,LCX50,2,LCX
