filename,full_path,KKS,System_code,Line_number,System_code_short
TC021-INOV-2LCQ30BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_47\Abu Dhabi\Att.2\TC021-INOV-2LCQ30BQ003-SU_0.0_Sikla support drawing.pdf,2LCQ30BQ003,LCQ30,2,LCQ
TC021-INOV-2LCX70BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2LCX70BQ001-SU_0.0_Sikla support drawing.pdf,2LCX70BQ001,LCX70,2,LCX
TC021-INOV-2QEC60BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_31\Abu Dhabi\Att.2\TC021-INOV-2QEC60BQ001-SU_0.0_Sikla support drawing.pdf,2QEC60BQ001,QEC60,2,QEC
TC021-INOV-0QFB20BQ004-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_50\Abu Dhabi\Att.2\TC021-INOV-0QFB20BQ004-SU_0.0_Sikla support drawing.pdf,0QFB20BQ004,QFB20,0,QFB
TC021-INOV-0QFC10BQ011-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_43\Abu Dhabi\Att.2\TC021-INOV-0QFC10BQ011-SU_0.0_Sikla support drawing.pdf,0QFC10BQ011,QFC10,0,QFC
TC021-INOV-2HRR30BQ043-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_12\Abu Dhabi\Att.2\TC021-INOV-2HRR30BQ043-SU_0.0_Sikla support drawing.pdf,2HRR30BQ043,HRR30,2,HRR
TC021-INOV-2HTE12BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_47\Abu Dhabi\Att.2\TC021-INOV-2HTE12BQ001-SU_0.0_Sikla support drawing.pdf,2HTE12BQ001,HTE12,2,HTE
TC021-INOV-2HTU10BQ010-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_47\Abu Dhabi\Att.2\TC021-INOV-2HTU10BQ010-SU_0.0_Sikla support drawing.pdf,2HTU10BQ010,HTU10,2,HTU
TC021-INOV-2HTX71BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_47\Abu Dhabi\Att.2\TC021-INOV-2HTX71BQ002-SU_0.0_Sikla support drawing.pdf,2HTX71BQ002,HTX71,2,HTX
TC021-INOV-2LAX52BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_25_47\Abu Dhabi\Att.2\TC021-INOV-2LAX52BQ002-SU_0.0_Sikla support drawing.pdf,2LAX52BQ002,LAX52,2,LAX
