full_path,filename,page_number,0,1,2,3,4,5,6,KKS,KKS/SU
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,,ARTICLE,,,CUT,,TOTAL,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,POS,,QTY,DESCRIPTION,,WEIGHT,,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,,NUMBER,,,LENGTH,,WEIGHT,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,A,110207,1,"Assembly Group BG14-F80-M10, DN 80",,0.61kg,0.61kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,B,113850,1,"Assembly Group BG16-F100-1/2"", DN 100",,1.62kg,1.62kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,C,113844,4,"Assembly Group BG16-F100-1/2"", DN 25",,0.91kg,3.64kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,D,113849,1,"Assembly Group BG16-F100-1/2"", DN 80",,1.33kg,1.33kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,E,113858,1,"Assembly Group BG17-F100-1/2"", DN 80",,3.88kg,3.88kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,F,114664,1,Assembly Group BG52-DN100,,0.61kg,0.61kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,G,114667,1,Assembly Group BG52-DN200,,0.99kg,0.99kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
